variant,trial,throughput_ev_s,median_ns,p95_ns,p99_ns
map,1,7.39332e+06,42,125,208
map,2,9.34371e+06,42,84,167
map,3,9.38439e+06,42,84,166
map,4,9.15934e+06,42,84,166
map,5,8.95129e+06,42,84,167
vector,1,8.6686e+06,42,125,167
vector,2,8.38934e+06,42,125,167
vector,3,8.6317e+06,42,125,167
vector,4,8.4421e+06,42,125,167
vector,5,8.78762e+06,42,125,167
hash,1,1.04255e+07,41,125,209
hash,2,1.04557e+07,41,125,209
hash,3,1.04215e+07,42,125,250
hash,4,1.02026e+07,42,125,250
hash,5,1.04581e+07,42,125,250
